Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_12,EMA_26,MACD,Signal_Line,TR,ATR
2022-01-03 00:00:00-05:00,174.96397401631208,179.9325878251871,174.84591282107223,179.07659912109375,104487900,0.0,0.0,,,179.07659912109375,179.07659912109375,0.0,0.0,5.0866750041148805,
2022-01-04 00:00:00-05:00,179.68660349006143,179.99160489675614,176.23316366013424,176.80381774902344,99310400,0.0,0.0,,,178.72694044846753,178.90824494538484,-0.18130449691730632,-0.03626089938346127,3.7584412366219055,
2022-01-05 00:00:00-05:00,176.71525988783705,177.26623207071754,171.8253592454738,172.10084533691406,94537600,0.0,0.0,,,177.70754120053624,178.40399312253516,-0.6964519219989143,-0.1682991039065519,5.44087282524373,
2022-01-06 00:00:00-05:00,169.91662049000044,172.47472273765217,168.87370673165287,169.2279052734375,96904000,0.0,0.0,,,176.40298182713644,177.7242829114909,-1.3213010843544453,-0.3988994999961306,3.6010160059992984,
2022-01-07 00:00:00-05:00,170.10356923829096,171.33342326280658,168.27354584929702,169.39517211914062,86709100,0.0,0.0,173.32086791992188,,175.32485725667556,177.10731174168717,-1.7824544850116126,-0.6756104969992272,3.059877413509554,
2022-01-10 00:00:00-05:00,166.3549934911358,169.71987264285875,165.4596560671489,169.4148712158203,106765600,0.0,0.0,171.38852233886718,,174.41562863500553,176.5375013323637,-2.1218726973581568,-0.9648629370710131,4.260216575709848,
2022-01-11 00:00:00-05:00,169.54277308913493,172.35666484220278,168.06694817720108,172.25828552246094,76138300,0.0,0.0,170.4794158935547,,174.08372969461405,176.220522383482,-2.1367926888679563,-1.199248887430402,4.289716665001691,
2022-01-12 00:00:00-05:00,173.28153740021668,174.3244513888946,172.00250100677792,172.7010498046875,74805200,0.0,0.0,170.59945678710938,,173.87100971154842,175.9598207109787,-2.0888109994302795,-1.3771613098303774,2.3219503821166825,
2022-01-13 00:00:00-05:00,172.9470087303428,173.7734671157762,169.021308880232,169.4148712158203,84505800,0.0,0.0,170.63684997558593,,173.18544994297488,175.47500963726324,-2.289559694288357,-1.5596409867219734,4.752158235544215,
2022-01-14 00:00:00-05:00,168.57854144538373,170.97921882070173,168.33257064894323,170.28067016601562,80440800,0.0,0.0,170.81394958496094,,172.73856074651962,175.09024375050416,-2.351683003984533,-1.7180493901744853,2.6466481717584998,
